experiment,round,client_id,loss,lambda
confidence,1,1,0.6605773008230961,0.585334837436676
confidence,1,2,0.664951257137437,0.5848430308653283
confidence,1,3,0.6686637754050585,0.5851903898784747
confidence,1,4,0.658932114348692,0.5847421333569438
confidence,2,1,0.6829656832145922,0.506661057472229
confidence,2,2,0.6299920384747995,0.506661057472229
confidence,2,3,0.6310147141607908,0.506661057472229
confidence,2,4,0.6758292202188187,0.506661057472229
confidence,3,1,0.6173450134017251,0.5259666786049352
confidence,3,2,0.6252678469055057,0.5259651986428493
confidence,3,3,0.6166384738798325,0.5259634024248674
confidence,3,4,0.6154739002720648,0.5259625072739705
confidence,4,1,0.5391806996229923,0.5555384159088135
confidence,4,2,0.5421794890739757,0.5555384159088135
confidence,4,3,0.5465223769155833,0.5555384159088135
confidence,4,4,0.5403911255988754,0.5555384161592531
confidence,5,1,0.4934866690274441,0.5647571755178047
confidence,5,2,0.5045129230603035,0.5647571713813229
confidence,5,3,0.5026413067602195,0.5647571728779719
confidence,5,4,0.502979618661544,0.5647571705469564
confidence,6,1,0.4554704328378041,0.5501739147937659
confidence,6,2,0.4636124563958361,0.5501739089353097
confidence,6,3,0.4626216136205655,0.5501739093317435
confidence,6,4,0.4646006206504437,0.5501739137312945
confidence,7,1,0.4527937173843384,0.5218889406233123
confidence,7,2,0.4492656461933116,0.5218889389013379
confidence,7,3,0.4559614894768366,0.5218889406667306
confidence,7,4,0.4553947422434302,0.5218889841011592
confidence,8,1,0.4108319544430935,0.5391110199870486
confidence,8,2,0.4065342866694989,0.5391110178720148
confidence,8,3,0.414990772278263,0.5391110181808472
confidence,8,4,0.4160553727831159,0.5391110176799678
confidence,9,1,0.3754507221958854,0.5186841487884521
confidence,9,2,0.3717980831089415,0.5186841487884521
confidence,9,3,0.3795910996313278,0.5186841485018914
confidence,9,4,0.3819751767050318,0.5186841487884521
confidence,10,1,0.3587637796546473,0.4663354040998401
confidence,10,2,0.3526116453613024,0.4663354102811665
confidence,10,3,0.3635542021634487,0.4663354093925311
confidence,10,4,0.3619722861702703,0.4663354074504195
confidence,11,1,0.369479340134245,0.5207829475402832
confidence,11,2,0.3621779794520047,0.5207829475402832
confidence,11,3,0.370073498871464,0.5207829475402832
confidence,11,4,0.369544508452175,0.5207829475402832
confidence,12,1,0.3558824026223385,0.5701467015526511
confidence,12,2,0.3498531688062638,0.5701466965551821
confidence,12,3,0.3556345272809267,0.5701466990778079
confidence,12,4,0.3599821241462932,0.5701467151902303
confidence,13,1,0.3572954390988205,0.5941010135592837
confidence,13,2,0.3487020791194599,0.5941010120619147
confidence,13,3,0.3565963741678458,0.594101012039643
confidence,13,4,0.3557959458156794,0.5941010120035219
confidence,14,1,0.3617594630429239,0.5722376595843922
confidence,14,2,0.353835426463982,0.5722376528181561
confidence,14,3,0.3612879335593719,0.5722376509354665
confidence,14,4,0.360311765630706,0.572237639867959
confidence,15,1,0.3518268231189612,0.5942964553833008
confidence,15,2,0.3441680092268039,0.5942964560009655
confidence,15,3,0.3513823840767145,0.5942964571026655
confidence,15,4,0.3518558147073793,0.5942964558841801
confidence,16,1,0.372876631491112,0.6159918940428531
confidence,16,2,0.366936775377995,0.6159918969159299
confidence,16,3,0.3717696582182095,0.6159919033256861
confidence,16,4,0.3708334608989603,0.6159918904304504
confidence,17,1,0.3452329608527096,0.6464234446034287
confidence,17,2,0.3374191789738255,0.6464234686268426
confidence,17,3,0.3431713194228135,0.6464234667901809
confidence,17,4,0.3477701359436291,0.6464234843474477
confidence,18,1,0.3536071957963885,0.6495319803555807
confidence,18,2,0.3447221386309115,0.6495319821056307
confidence,18,3,0.353100581954305,0.6495319816928643
confidence,18,4,0.3515700176984322,0.6495319973019993
confidence,19,1,0.3562097097888137,0.6205336559902538
confidence,19,2,0.3490810976436101,0.6205340982101124
confidence,19,3,0.3542548197393234,0.6205338262594663
confidence,19,4,0.3543198496854606,0.6205326596728894
confidence,20,1,0.351254631172527,0.5930627223217126
confidence,20,2,0.3418391198691926,0.5930627581369073
confidence,20,3,0.3492211453043498,0.593062765036638
confidence,20,4,0.3499794899165129,0.5930627702164049
